PN,Dataset,Count,LGB_Winkler_80CI_Mean,LGB_Winkler_80CI_Std,LGB_PICP_80CI,LGB_Winkler_50CI_Mean,LGB_Winkler_50CI_Std,LGB_PICP_50CI,LGB_Q10,LGB_Q90,LGB_Median_Q10_Q90,LGB_Q25,LGB_Q75,LGB_Median_Q25_Q75,LGB_MAE_Mean,LGB_MAE_Std,TF_Winkler_80CI_Mean,TF_Winkler_80CI_Std,TF_PICP_80CI,TF_Winkler_50CI_Mean,TF_Winkler_50CI_Std,TF_PICP_50CI,TF_Q10,TF_Q90,TF_Median_Q10_Q90,TF_Q25,TF_Q75,TF_Median_Q25_Q75,TF_MAE_Mean,TF_MAE_Std,LGB_PICP_80CI_Pct,LGB_PICP_50CI_Pct,TF_PICP_80CI_Pct,TF_PICP_50CI_Pct
320548-2,Test,3,15.718122036159771,0.610836750657405,0.3333333333333333,8.969525526983182,1.6212819990093366,0.3333333333333333,13.750867750257745,29.11875890247208,14.945519707721298,16.78444613009163,23.90543244646821,7.237890545863504,6.628134731081684,4.327763025633115,19.62967472076416,0.30334261559062003,0.6666666666666666,10.70976193745931,1.147250745087306,0.3333333333333333,11.417684,30.925379,19.83099,15.866427,25.166306,9.341345,5.480862299601237,3.126518468047997,33.33333333333333,33.33333333333333,66.66666666666666,33.33333333333333
320548-2,Validation,3,15.92505092010486,1.3439560179726373,1.0,8.45896645812615,1.0430301015518233,0.3333333333333333,12.094186620908614,28.019237541013478,16.391453729409932,15.129971301452732,22.97184204576995,7.699268101627723,5.113728793387817,1.4958316594370187,18.412159601847332,1.2997493651145902,0.6666666666666666,9.656670888264975,1.0756536998128843,0.6666666666666666,10.425666,28.817152,17.57353,14.6918745,23.470564,8.378703,6.017499923706056,3.3293149758654885,100.0,33.33333333333333,66.66666666666666,66.66666666666666
3214-62-10,Test,3,12.65358597106344,1.4744103317888586,1.0,6.558654652353582,0.5199567996586321,0.3333333333333333,8.856754147171877,21.510340118235316,13.656457064810818,11.723819077380854,17.995750623497972,6.355016621079837,3.0148604520513675,1.2392479413405162,15.390673637390137,0.8556130569678502,1.0,8.517897288004557,0.8450477377953033,0.3333333333333333,7.360386,22.751059,15.60247,10.700353,18.653519,8.141628,4.393921534220376,1.6404625349035167,100.0,33.33333333333333,100.0,33.33333333333333
3214-62-10,Validation,3,11.894714357052885,0.6442622919456581,0.3333333333333333,8.373459000494512,1.5552672299721664,0.0,8.283158616197476,19.705348994553763,11.376472500758924,10.726345044610285,16.53524948425445,5.7966704632398915,7.8733744329858695,2.8141264194616085,14.740990829467775,0.7981821495438203,0.6666666666666666,9.58750089009603,2.16619211011476,0.3333333333333333,6.13221,20.344395,13.756494,9.100413,16.481653,7.172122,8.012845039367674,5.55962749668969,33.33333333333333,0.0,66.66666666666666,33.33333333333333
3214446-4,Test,3,24.43412663680753,2.862245034834885,0.6666666666666666,14.839494299912387,3.895683904059091,0.3333333333333333,34.50192936601135,58.368728643795784,22.453030745830034,33.99128344504846,45.72751636478581,11.76940344391516,7.468743264982315,8.773928050076757,35.31053822835286,0.26375520240905864,0.6666666666666666,18.069484710693356,2.6524824012694235,0.6666666666666666,27.534006,62.83246,35.345387,35.398468,51.528385,16.072212,10.407398223876946,8.641016959725635,66.66666666666666,33.33333333333333,66.66666666666666,66.66666666666666
3214446-4,Validation,3,31.14693747197606,2.7664670911909206,1.0,13.86322327058503,1.9568554026332055,0.3333333333333333,32.52061510833605,63.66755258031211,32.03743487036726,34.06086648435974,45.64461621656107,11.535747119192045,5.544290516439385,4.118764329774566,33.97674433390299,0.6195285049834098,1.0,16.495308558146164,1.5857800633355446,0.3333333333333333,25.618729,59.59547,34.307278,33.395977,48.408283,15.104519,10.926803588867193,5.174664654318734,100.0,33.33333333333333,100.0,33.33333333333333
3214552-5,Test,3,18.01701444646891,1.0420990198693971,0.6666666666666666,12.269708675774053,1.7191185095551726,0.0,24.895496355262306,42.48006526330038,18.482280676604805,27.485470964983637,37.45132198389347,9.68226235984124,9.70704196273177,3.7064308043495005,29.019041188557946,1.1708772068518196,0.6666666666666666,15.557648022969564,1.5111595922865968,0.3333333333333333,20.462358,49.400803,29.640905,27.046274,40.4185,13.655218,11.122756322224939,4.72172594500675,66.66666666666666,0.0,66.66666666666666,33.33333333333333
3214552-5,Validation,3,18.445093529114256,1.3521272906338022,0.6666666666666666,11.831718467573845,2.5226607499545293,0.3333333333333333,22.78952810391473,41.127277456277504,17.62236718901363,25.82385826355005,35.6984837057714,9.702509936895101,8.158915583957251,5.026810458183921,25.81785469055176,1.475667969775255,0.3333333333333333,14.924579938252768,1.735094941828817,0.3333333333333333,17.09852,42.697163,26.669472,22.997156,34.765114,12.170803,11.573554992675783,7.515000235538964,66.66666666666666,33.33333333333333,33.33333333333333,33.33333333333333
3214552-6,Test,3,26.66705104983984,0.2117414598731264,0.6666666666666666,16.450278058462533,6.50110037316551,0.3333333333333333,33.3150136591931,58.81655958939924,26.392867696950425,34.005971355663064,45.139801113372705,11.141205729232091,12.714584611750695,12.755270138697666,36.129601033528644,0.7393487556457851,0.6666666666666666,20.114035288492833,5.3406336634605225,0.6666666666666666,27.570694,62.840466,35.468166,35.413044,51.52521,16.253517,13.791035970052073,14.870209385760553,66.66666666666666,33.33333333333333,66.66666666666666,66.66666666666666
3214552-6,Validation,3,23.42201238072076,1.8286081408875285,0.0,18.044224522765607,1.532043534085713,0.0,30.204384067092423,52.36632889309982,23.244365977916097,33.635767946029,44.69331827092253,10.809960344086974,17.0580020548147,2.855659866749909,32.9574239095052,0.7211507736108351,0.3333333333333333,20.973276138305664,1.9460380328546432,0.0,23.567423,55.629406,31.4507,30.94136,45.16261,14.178989,22.718732198079426,4.64094356581712,0.0,0.0,33.33333333333333,0.0
