AircraftFamily,fleet_count,age_mean,age_median,age_min,age_max,build_year_min,build_year_max,build_year_mean,order_year_min,order_year_max,order_year_mean,lease_start_year_median,num_operators,num_owners,num_countries_operated_for,age_0_8_count,age_0_8_share,age_8_15_count,age_8_15_share,age_15_20_count,age_15_20_share,age_20_30_count,age_20_30_share,age_30_plus_count,age_30_plus_share,age_15_25_count,age_15_25_share,age_25_plus_count,age_25_plus_share,share_owned,share_leased,share_operating_lease,share_finance_lease,share_gov_mil,share_commercial
AN-140 Family,36,18.22838238649327,18.380561259411365,9.596167008898014,28.09034907597536,1997.0,2016.0,2007.0277777777778,1995.0,2009.0,2002.8285714285714,,13,13,4,0,0.0,15,0.4166666666666667,6,0.16666666666666666,15,0.4166666666666667,0,0.0,18,0.5,3,0.08333333333333333,1.0,0.0,0.0,0.0,0.3333333333333333,0.4722222222222222
AN-148 Family,48,12.570385580652522,12.365503080082135,7.008898015058179,20.84052019164956,2004.0,2018.0,2012.75,2005.0,2013.0,2010.7,,14,12,5,4,0.08333333333333333,35,0.7291666666666666,7,0.14583333333333334,2,0.041666666666666664,0,0.0,9,0.1875,0,0.0,1.0,0.0,0.020833333333333332,0.0,0.5416666666666666,0.1875
AN-22 Family,67,53.442234413149855,52.85147159479808,49.80971937029432,60.64339493497604,1965.0,1975.0,1971.7462686567164,1961.0,1972.0,1968.6153846153845,1994.0,6,5,3,0,0.0,0,0.0,0,0.0,0,0.0,67,1.0,0,0.0,67,1.0,0.9850746268656716,0.014925373134328358,0.014925373134328358,0.0,0.9253731343283582,0.014925373134328358
AN-225 Family,1,36.82956878850103,36.82956878850103,36.82956878850103,36.82956878850103,1988.0,1988.0,1988.0,1985.0,1985.0,1985.0,,1,1,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0
AN72/74 Family,192,33.40913757700205,34.80082135523614,12.79945242984257,48.1368925393566,1977.0,2013.0,1992.1875,1983.0,2011.0,1990.8804347826087,2014.5,62,62,24,0,0.0,5,0.026041666666666668,4,0.020833333333333332,28,0.14583333333333334,155,0.8072916666666666,7,0.036458333333333336,180,0.9375,0.96875,0.03125,0.03125,0.0,0.6770833333333334,0.234375
ARJ21 / C909 Family,181,3.843987883875798,3.167693360711841,0.08213552361396304,16.89253935660506,2008.0,2025.0,2021.3922651933701,2009.0,2024.0,2017.1363636363637,2022.0,19,38,6,174,0.9613259668508287,3,0.016574585635359115,4,0.022099447513812154,0,0.0,0,0.0,4,0.022099447513812154,0,0.0,0.3812154696132597,0.6187845303867403,0.3314917127071823,0.24861878453038674,0.0,0.9502762430939227
ATP Family,65,34.83051650608119,34.86105407255305,30.23682409308692,39.20602327173169,1986.0,1995.0,1990.446153846154,1986.0,1996.0,1988.0806451612902,2023.0,20,19,9,0,0.0,0,0.0,0,0.0,0,0.0,65,1.0,0,0.0,65,1.0,0.8461538461538461,0.15384615384615385,0.15384615384615385,0.0,0.0,0.3230769230769231
ATR Family,1750,18.91310139825951,15.805612594113619,0.03832991101984942,41.17727583846681,1984.0,2025.0,2006.3474285714285,1982.0,2025.0,2004.413516609393,2019.0,371,343,118,320,0.18285714285714286,520,0.29714285714285715,221,0.12628571428571428,235,0.13428571428571429,454,0.25942857142857145,295,0.16857142857142857,615,0.3514285714285714,0.6291428571428571,0.37085714285714283,0.25485714285714284,0.018857142857142857,0.04171428571428572,0.7262857142857143
BE-200 Family,20,12.41163586584531,8.69678302532512,1.801505817932923,27.07186858316222,1998.0,2024.0,2012.9,2000.0,2021.0,2009.388888888889,,6,5,4,9,0.45,3,0.15,3,0.15,5,0.25,0,0.0,7,0.35,1,0.05,0.95,0.05,0.0,0.0,0.9,0.0
C-390 Family,14,4.292950034223135,3.776865160848734,0.3942505133470226,10.71047227926078,2015.0,2025.0,2021.142857142857,2014.0,2020.0,2015.75,,4,4,3,12,0.8571428571428571,2,0.14285714285714285,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.8571428571428571,0.0
C130 Family,2733,44.941643356617085,50.01505817932922,0.09034907597535934,71.15947980835044,1954.0,2025.0,1980.4533479692645,1951.0,2022.0,1979.1496523966337,1984.0,204,200,80,170,0.06220270764727406,194,0.07098426637394804,74,0.02707647274057812,161,0.05890962312477131,2134,0.7808269301134285,134,0.04903036955726308,2235,0.8177826564215148,0.9871935601902672,0.012806439809732895,0.011708744968898645,0.0,0.9041346505671424,0.04683497987559458
C212 Family,470,41.012783433090135,43.007529089664615,2.09719370294319,54.57905544147844,1971.0,2023.0,1984.2851063829787,1968.0,2021.0,1981.9268817204302,2017.0,117,118,47,14,0.029787234042553193,7,0.014893617021276596,1,0.002127659574468085,27,0.0574468085106383,421,0.8957446808510638,9,0.019148936170212766,440,0.9361702127659575,0.9893617021276596,0.010638297872340425,0.00851063829787234,0.002127659574468085,0.6829787234042554,0.22340425531914893
C295 Family,247,11.162117899392296,11.21971252566735,0.2217659137577002,27.89322381930185,1997.0,2025.0,2014.2024291497976,1999.0,2023.0,2012.122950819672,,42,42,37,82,0.3319838056680162,89,0.3603238866396761,53,0.2145748987854251,23,0.0931174089068826,0,0.0,74,0.29959514170040485,2,0.008097165991902834,1.0,0.0,0.0,0.0,0.979757085020243,0.0
C919,31,2.236029233180985,1.196440793976728,0.2409308692676249,8.459958932238193,2017.0,2025.0,2022.9354838709678,2010.0,2024.0,2017.9583333333333,2024.0,5,10,1,30,0.967741935483871,1,0.03225806451612903,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.6774193548387096,0.3225806451612903,0.1935483870967742,0.16129032258064516,0.0,0.8064516129032258
CL-215/415 Family,132,22.136768091593552,25.04722792607803,7.471594798083505,33.80150581793292,1992.0,2018.0,2003.2272727272727,1992.0,2024.0,2002.3720930232557,2019.0,18,20,9,5,0.03787878787878788,33,0.25,17,0.12878787878787878,49,0.3712121212121212,28,0.21212121212121213,27,0.20454545454545456,67,0.5075757575757576,0.8863636363636364,0.11363636363636363,0.12121212121212122,0.0,0.6515151515151515,0.3181818181818182
CN-235 Family,283,27.47377153457504,29.88911704312115,4.525667351129363,41.94113620807666,1983.0,2021.0,1997.844522968198,1979.0,2019.0,1996.0327272727272,2020.0,59,59,34,5,0.0176678445229682,30,0.10600706713780919,28,0.0989399293286219,79,0.2791519434628975,141,0.49823321554770317,55,0.19434628975265017,193,0.6819787985865724,0.9787985865724381,0.02120141342756184,0.02120141342756184,0.0,0.8975265017667845,0.0636042402826855
CRJ Family,2036,20.708717419104982,21.88637919233402,3.34839151266256,34.4476386036961,1991.0,2022.0,2004.6291748526523,1990.0,2019.0,2002.411330049261,2017.0,292,310,67,83,0.04076620825147348,285,0.13998035363457761,343,0.16846758349705304,1238,0.6080550098231827,87,0.04273084479371316,1214,0.5962671905697446,454,0.22298624754420432,0.8079567779960707,0.19204322200392926,0.17043222003929273,0.011787819253438114,0.013261296660117878,0.668467583497053
CSeries Family,1,12.09308692676249,12.09308692676249,12.09308692676249,12.09308692676249,2013.0,2013.0,2013.0,,,,,1,1,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Caravelle Family,282,61.80424366872005,62.64339493497604,52.61875427789185,70.40109514031485,1955.0,1973.0,1963.5567375886526,1950.0,1971.0,1962.2571428571428,1979.5,99,98,42,0,0.0,0,0.0,0,0.0,0,0.0,282,1.0,0,0.0,282,1.0,0.9645390070921985,0.03546099290780142,0.01773049645390071,0.0,0.024822695035460994,0.8794326241134752
Cessna 408,49,2.0081856151084665,1.963039014373716,0.08761122518822724,5.426420260095825,2020.0,2025.0,2023.2857142857142,2017.0,2024.0,2018.5869565217392,2023.0,14,11,3,49,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.8979591836734694,0.10204081632653061,0.061224489795918366,0.0,0.0,0.42857142857142855
